combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,signal_stack_spread_pct__max,peak_sma60_return_10__max
0,"signal_stack_spread_pct__max=0.1, peak_sma60_return_10__max=0.05",ok,0.3263888888888889,94,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046649809711290624,2.576408009944262,-2.5297582002329717,0.007689271943788434,0.006856745824934157,1.1205717269100528,1.0978335065854876,0.008300276141258056,0.9263874855400879,0.176,0.6873333333333334,2.344786271233383,124,1349.6962887099999,-1.066359320856432,62,62,62,0,1.0,0.5161290322580645,0.04078408972957684,0.024732701641139342,2.5251739250340797,20000.0,0.1,0.05
1,"signal_stack_spread_pct__max=0.1, peak_sma60_return_10__max=0.06",ok,0.3263888888888889,94,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046649809711290624,2.576408009944262,-2.5297582002329717,0.007689271943788434,0.006856745824934157,1.1205717269100528,1.0978335065854876,0.008300276141258056,0.9263874855400879,0.176,0.6873333333333334,2.344786271233383,124,1349.6962887099999,-1.066359320856432,62,62,62,0,1.0,0.5161290322580645,0.04078408972957684,0.024732701641139342,2.5251739250340797,20000.0,0.1,0.06
2,"signal_stack_spread_pct__max=0.1, peak_sma60_return_10__max=0.08",ok,0.3263888888888889,94,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046649809711290624,2.576408009944262,-2.5297582002329717,0.007689271943788434,0.006856745824934157,1.1205717269100528,1.0978335065854876,0.008300276141258056,0.9263874855400879,0.176,0.6873333333333334,2.344786271233383,124,1349.6962887099999,-1.066359320856432,62,62,62,0,1.0,0.5161290322580645,0.04078408972957684,0.024732701641139342,2.5251739250340797,20000.0,0.1,0.08
3,"signal_stack_spread_pct__max=0.12, peak_sma60_return_10__max=0.05",ok,0.4618055555555556,133,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04867029260430589,2.576408009944262,-2.5277377173399564,0.00801581556352926,0.00922573155220066,0.8700164597980194,0.8760754676008962,0.01706493399856146,0.4697243812489974,0.24466666666666667,1.0146666666666666,3.3294315428244774,176,1903.035895695,-1.068244150035235,88,88,88,0,1.0,0.4659090909090909,0.029461172610297858,-0.014929789953657159,1.9168799429411432,20000.0,0.12,0.05
4,"signal_stack_spread_pct__max=0.12, peak_sma60_return_10__max=0.06",ok,0.4618055555555556,133,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04867029260430589,2.576408009944262,-2.5277377173399564,0.00801581556352926,0.00922573155220066,0.8700164597980194,0.8760754676008962,0.01706493399856146,0.4697243812489974,0.24466666666666667,1.0146666666666666,3.3294315428244774,176,1903.035895695,-1.068244150035235,88,88,88,0,1.0,0.4659090909090909,0.029461172610297858,-0.014929789953657159,1.9168799429411432,20000.0,0.12,0.06
5,"signal_stack_spread_pct__max=0.12, peak_sma60_return_10__max=0.08",ok,0.4618055555555556,133,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04867029260430589,2.576408009944262,-2.5277377173399564,0.00801581556352926,0.00922573155220066,0.8700164597980194,0.8760754676008962,0.01706493399856146,0.4697243812489974,0.24466666666666667,1.0146666666666666,3.3294315428244774,176,1903.035895695,-1.068244150035235,88,88,88,0,1.0,0.4659090909090909,0.029461172610297858,-0.014929789953657159,1.9168799429411432,20000.0,0.12,0.08
6,"signal_stack_spread_pct__max=0.15, peak_sma60_return_10__max=0.05",ok,0.6215277777777778,179,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.054806938917711046,2.576408009944262,-2.5216010710265513,0.009004400544138091,0.011182597614317127,0.8072157156418936,0.9293774351898031,0.015079434329168251,0.5971311885831698,0.284,1.4253333333333333,4.365526241337821,232,2503.41008229,-1.0674416543304914,119,116,116,0,0.9747899159663865,0.4396551724137931,0.025188037415377465,-0.025440510697770893,1.7330452575780615,20000.0,0.15,0.05
7,"signal_stack_spread_pct__max=0.15, peak_sma60_return_10__max=0.06",ok,0.6458333333333334,186,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05314476579739624,2.576408009944262,-2.523263244146866,0.008737105753148455,0.011428103317594968,0.7669330250760233,0.8742079986680209,0.017113651482738135,0.5105342808903891,0.2826666666666667,1.438,4.470805361645019,238,2562.737702605,-1.0689762958049975,122,119,119,0,0.9754098360655737,0.4369747899159664,0.023058782817031314,-0.026456618599134396,1.6706603458262577,20000.0,0.15,0.06
8,"signal_stack_spread_pct__max=0.15, peak_sma60_return_10__max=0.08",ok,0.6458333333333334,186,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05314476579739624,2.576408009944262,-2.523263244146866,0.008737105753148455,0.011428103317594968,0.7669330250760233,0.8742079986680209,0.017113651482738135,0.5105342808903891,0.2826666666666667,1.438,4.470805361645019,238,2562.737702605,-1.0689762958049975,122,119,119,0,0.9754098360655737,0.4369747899159664,0.023058782817031314,-0.026456618599134396,1.6706603458262577,20000.0,0.15,0.08
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,,
